qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
DDMIMFBN_00001	1592.31393516	86.4371097995	98	8611	1.47788993184	0.473517291922	9.6528680594e-06	Aldehyde-alcohol dehydrogenase	ADHE
DDMIMFBN_00005	2430.08936022	44.0119765569	50	972	1.71657560511	0.291583106876	4.07190496585e-05	Periplasmic oligopeptide-binding protein	OPPA
DDMIMFBN_00005	494.775020767	18.4860480987	21	4136	0.803967145861	0.0302963595705	3.34908417173e-06	Oligopeptide ABC transporter substrate-binding protein OppA	OPPA
DDMIMFBN_00005	485.404301494	12.3144686138	14	1907	0.800549017306	0.0309149592346	0.000118415712526	Glutathione-binding protein GsiB	OPPA
DDMIMFBN_00005	65.9791185599	10.5785025711	12	75782	0.660500626148	0.0832244699533	4.82431249603e-07	ABC transporter, substrate-binding protein, family 5	OPPA
DDMIMFBN_00005	20.989564159	1.75897878313	2	20626	0.604487610455	0.0114939331651	1.0672027788e-08	Peptide/nickel transport system substrate-binding protein	OPPA
DDMIMFBN_00006	1594.17775295	81.0068370609	92	7649	1.26640522903	0.0730729710216	0.000272660639833	Oligopeptide transport system permease protein OppB	OPPB
DDMIMFBN_00006	31.2761698756	2.64152729546	3	21005	0.625313346661	0.0430242656113	8.96836228552e-07	Binding-protein-dependent transport systems inner membrane component	OPPB
DDMIMFBN_00006	28.042206081	3.51411599716	4	46065	0.62260695567	0.0403586046847	6.3771768326e-07	Peptide ABC transporter permease	OPPB
DDMIMFBN_00007	1847.82820686	79.2427866527	90	5504	1.37134473325	0.079638782211	0.000244796748361	Oligopeptide ABC transporter permease OppC	OPPC
DDMIMFBN_00007	28.186478983	3.5139949737	4	46065	0.620097022285	0.0355139978018	5.92837194754e-07	Peptide ABC transporter permease	OPPC
DDMIMFBN_00007	39.1563262438	3.52191537049	4	24090	0.617876692542	0.0230455752684	3.57585956393e-07	Binding-protein-dependent transport systems inner membrane component	OPPC
DDMIMFBN_00008	1259.96995742	51.0817183447	58	4818	1.13802981325	0.0830850714477	0.000337120637482	Oligopeptide ABC transporter, ATP-binding protein OppD	OPPD
DDMIMFBN_00008	67.1976610139	36.1015701572	41	834085	0.65516264165	0.0722329350053	6.08455614727e-06	ABC transporter ATP-binding protein	OPPD
DDMIMFBN_00008	10.4194077104	0.880719281805	1	20569	0.617679208415	0.0443611999043	4.69075429602e-07	Peptide/nickel transport system ATP-binding protein	OPPD
DDMIMFBN_00009	1366.14990246	66.9253284638	76	7106	1.17299807636	0.0689336718795	0.000163463973103	Oligopeptide transport ATP-binding protein OppF	OPPF
DDMIMFBN_00009	272.672445714	2.64210192871	3	278	0.712359437421	0.0250763377071	7.51620146409e-09	Oligopeptide/dipeptide transporter, C-terminal domain protein	OPPF
DDMIMFBN_00009	29.4495376417	17.6140128581	20	1017451	0.640874818258	0.073764130223	7.09156916984e-07	ABC transporter ATP-binding protein	OPPF
DDMIMFBN_00010	6755.65405348	87.1721522505	100	498	3.42084184247	0.241540966324	0.028175446572	UPF0263 protein YciU	YCIU
DDMIMFBN_00011	2354.16030727	88.1247170495	100	4102	1.61999975342	0.166666141329	0.000128780157771	Cardiolipin synthase A	CLSA
DDMIMFBN_00012	1204.01226662	85.3913159741	97	14903	1.19375620727	0.230471818858	6.18313419018e-05	Voltage-gated potassium channel	KCH
DDMIMFBN_00012	69.746920277	1.76223512654	2	1890	0.618761384707	0.00162757848107	6.0979836376e-11	TrkA-N domain-containing protein	KCH
DDMIMFBN_00013	324.854251465	63.9561837867	91	189582	0.844114663161	0.234287020632	4.20819743318e-05	Integrase	INT
DDMIMFBN_00013	54.6933262286	0.644327790466	1	679	0.615692930013	0.0071992443259	1.44952123045e-09	DNA integration/recombination/inversion protein	INT
DDMIMFBN_00013	7.84084649294	0.658888711892	1	33570	0.595336023312	0.00415034101974	1.98726301214e-07	Tyr recombinase domain-containing protein	INT
DDMIMFBN_00014	970.932099635	7.35292862504	9	2170	1.50800779199	0.999295824238	0.000408264670123	Bacteriophage protein	
DDMIMFBN_00017	3448.03144005	40.7189694798	54	612	2.08978031186	0.226803907798	0.018083235253	Enterohemolysin	
DDMIMFBN_00017	1218.45612263	22.2021638733	29	1457	1.11869811024	0.0779419752512	0.000320715413168	Recombinase RecT	
DDMIMFBN_00017	912.8626225	5.26542949901	7	146	0.977186282253	0.0415868792909	9.36144562322e-06	Enterobacterial exodeoxyribonuclease VIII	
DDMIMFBN_00018	1306.82903044	27.8452372207	39	4296	1.33723512514	0.423587364215	0.000110496572049	Exodeoxyribonuclease	
DDMIMFBN_00018	747.042448204	3.74655317839	5	238	0.888816979282	0.0	0.0	PD-(D/E)XK nuclease-like domain-containing protein	
DDMIMFBN_00018	176.851660356	0.708824490491	1	152	0.671485191818	0.0202712226655	3.89831205105e-05	RecE	
DDMIMFBN_00018	20.7351229202	0.837560089497	1	15358	0.615135015467	0.0317754037691	1.15088243832e-07	Exonuclease	
DDMIMFBN_00019	918.696026879	4.39204902409	7	159	0.970725335165	0.0249941440671	1.40291445619e-06	Pathogenesis-related transcriptional factor and ERF protein	
DDMIMFBN_00019	446.770364902	1.24474055277	2	54	0.806102640493	0.0705530231484	6.96131620304e-05	Putative NHN endonuclease	
DDMIMFBN_00019	320.590587111	34.1187508309	55	78738	0.772246400987	0.101904960791	2.68461675674e-05	HNH endonuclease	
DDMIMFBN_00019	53.2512291596	3.08096695877	5	23209	0.625186842496	0.0262006521464	2.59708524811e-07	Fis family transcriptional regulator	
DDMIMFBN_00019	80.7801513915	4.8682474113	8	25209	0.622312060557	0.0	0.0	AP2/ERF domain-containing protein	
