qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
NAAKIICH_00001	1475.69571212	3.92601051856	5	26	1.18845747846	0.0154324391556	4.27664113529e-08	D-galactonate transport	DGOT
NAAKIICH_00001	142.598417929	72.7607621833	92	951773	0.802404082865	0.293140852409	3.19579807525e-06	D-galactonate transporter	DGOT
NAAKIICH_00001	252.119588263	0.778241355374	1	35	0.692810149413	0.00370133458815	3.03388080996e-05	DgoT	DGOT
NAAKIICH_00001	48.1640232461	0.78742573631	1	981	0.669462759261	0.11357948444	1.16046438929e-06	Glucarate transporter	DGOT
NAAKIICH_00002	6442.13816046	37.4052510736	43	137	3.24047953749	0.138909582978	0.000109716290293	Colicin M resistance protein	CBRA
NAAKIICH_00002	1513.62120003	6.10003565038	7	66	1.20644147932	0.0207390414164	6.53680483862e-05	Colicin M resistance protein CbrA	CBRA
NAAKIICH_00002	53.809430088	13.8831653781	16	267875	0.63226202122	0.0391287647012	1.94675150226e-07	Oxidoreductase	CBRA
NAAKIICH_00002	52.9445922089	1.73305617175	2	4348	0.619777610574	0.0162259876357	1.21940321174e-08	FAD binding domain protein	CBRA
NAAKIICH_00002	51.7642311228	5.21950267451	6	41139	0.610705692449	0.0	0.0	FAD-binding protein	CBRA
NAAKIICH_00003	1.93485514563e-15	0.876448405832	1	9	0.678291617172	0.16657607711	0.000314815184063	Putative Dipeptidyl aminopeptidases /acylaminoacyl-peptidase	
NAAKIICH_00004	1673.85433047	5.24531890717	6	175	1.26637605257	0.0128949371907	1.83507465972e-07	Predicted periplasmic lipoprotein	YIDQ
NAAKIICH_00004	423.56101002	0.874700922006	1	76	0.774670199766	0.0287656291177	6.16258477464e-07	Outer membrane lipoprotein YidQ	YIDQ
NAAKIICH_00004	182.181909596	8.60056234215	10	39700	0.730116726715	0.12687536103	1.07652694793e-06	Outer membrane protein	YIDQ
NAAKIICH_00005	3881.42859135	87.7473826635	100	1509	2.20538001312	0.118482415667	0.000644813858365	Small heat shock protein IbpA	IBPA
NAAKIICH_00006	4772.69052061	87.5666936762	100	998	2.56312962408	0.120757521922	0.00259646074417	Small heat shock protein IbpB	IBPB
NAAKIICH_00007	5544.95962986	87.1492831484	99	732	2.94405837129	0.256475569675	0.0071233708549	Putative transport protein YidE	YIDE
NAAKIICH_00008	664.134760882	11.4381392241	13	899	0.873573540937	0.0338062497203	0.000116211645471	UbiC transcription regulator-associated domain protein	YIDP
NAAKIICH_00008	541.569074068	3.51942745358	4	128	0.86210804554	0.104677967221	5.4664253786e-05	HTH-type transcriptional regulator yidP	YIDP
NAAKIICH_00008	125.247112379	65.9440462388	75	835337	0.71419439061	0.139802739766	4.67911050602e-06	GntR family transcriptional regulator	YIDP
NAAKIICH_00008	64.6915217104	2.63957059018	3	5039	0.624546404473	0.0163580455149	1.58327555894e-06	UTRA domain-containing protein	YIDP
NAAKIICH_00008	18.1893606116	1.75510749409	2	27888	0.598334042592	0.00199678915505	4.74513680258e-09	HTH gntR-type domain-containing protein	YIDP
NAAKIICH_00009	2062.75952452	37.3263873249	43	1022	1.44317610418	0.0529661482603	1.17898196297e-05	Phosphotransferase system enzyme IIBC component	GLVC
NAAKIICH_00009	1969.88554393	3.52598084769	4	10	1.39656784365	0.0351095518883	0.000278178890561	Phosphotransferase enzyme IIB component glvB	GLVC
NAAKIICH_00009	760.494477311	41.0772402767	47	9105	0.92045838017	0.0495477208193	1.48605815445e-05	PTS sugar transporter subunit IIB	GLVC
NAAKIICH_00009	7.43554180388	0.845495105228	1	39006	0.593605952864	0.00119195497943	1.89442998132e-10	Putative transcriptional regulator	GLVC
NAAKIICH_00010	2752.77281083	80.7939165364	92	2565	1.71502400958	0.0451223154642	2.90277614712e-06	6-phospho-alpha-glucosidase	AGLB
NAAKIICH_00010	245.809949468	3.51558883989	4	609	0.70725861448	0.0357257221465	9.77582242304e-08	Family 4 glycosyl hydrolase	AGLB
NAAKIICH_00010	223.825243935	2.62976733196	3	411	0.679530097574	0.0	0.0	Putative 6-phospho-beta-glucosidase	AGLB
NAAKIICH_00011	1923.80204938	3.47766186492	4	5	1.39636553103	0.069503235385	0.0003998262187	Transcriptional regulator YidL	YIDL
NAAKIICH_00011	989.706217739	9.51766914254	11	283	0.999238336358	0.0251996995693	4.24545718596e-07	Putative ARAC-type regulatory protein	YIDL
NAAKIICH_00011	418.70771926	0.863001593246	1	13	0.757483087704	0.0	0.0	Probable 6-phospho-beta-glucosidase	YIDL
NAAKIICH_00011	135.492152181	70.6028644171	81	826647	0.728218776841	0.158531529561	1.02650705576e-05	AraC family transcriptional regulator	YIDL
NAAKIICH_00011	6.22648036701	0.863001593246	1	55974	0.593054208348	0.00106342674795	1.26355488905e-09	HTH araC/xylS-type domain-containing protein	YIDL
NAAKIICH_00012	4679.19477138	7.89718299107	9	24	2.5115776794	0.0941495202041	2.62571870049e-05	Putative cotransporter	YIDK
NAAKIICH_00012	918.823948114	14.0497006488	16	1970	1.10893836523	0.285657551116	0.000514194444261	Transporter, SSS family	YIDK
NAAKIICH_00012	535.121924433	3.5124251622	4	363	0.805146383743	0.0020708877305	2.17362827705e-06	Symporter YidK	YIDK
NAAKIICH_00012	38.5108911293	5.27094719286	6	156683	0.670107845498	0.122082051399	9.0243280818e-08	Transporter	YIDK
NAAKIICH_00013	1109.91953354	1.75354053454	2	11	1.03396781342	0.0	0.0	Putative sulfatase/phosphatase	YIDJ
NAAKIICH_00013	582.045939965	0.876770267272	1	2	0.833860002935	0.0208332571148	3.39164108516e-08	Sulfatase/phosphatase superfamily protein	YIDJ
NAAKIICH_00013	582.045939965	0.876770267272	1	3	0.822818375986	0.0	0.0	Predicted sulfatase/phosphatase	YIDJ
NAAKIICH_00013	162.757928133	15.7957174557	18	41460	0.810623469474	0.293431376557	8.34322935905e-05	Arylsulfatase	YIDJ
NAAKIICH_00013	282.142847872	39.486984865	45	86256	0.735959204569	0.0624292829218	0.000727273582958	Sulfatase-like hydrolase/transferase	YIDJ
NAAKIICH_00014	2923.6639483	26.1891743424	30	284	1.81395655477	0.102765608721	0.00126014156592	Inner membrane protein YidH	YIDH
NAAKIICH_00014	683.849305351	42.8767016174	49	13912	0.937811592234	0.140118673456	0.000448658106209	DUF202 domain-containing protein	YIDH
NAAKIICH_00014	35.3354086216	4.38365042286	5	54053	0.625630549439	0.0405591328828	2.27814033331e-06	Inner membrane protein	YIDH
NAAKIICH_00015	668.774224491	44.7181317996	51	13912	0.911370449549	0.101611296216	0.000338637921127	DUF202 domain-containing protein	YIDG
NAAKIICH_00015	542.97117274	38.5871822871	44	15714	0.887091166441	0.150249511995	0.0135227993995	Inner membrane protein yidG	YIDG
NAAKIICH_00016	98.0856579701	36.6007780217	42	600905	0.713194347665	0.158415212876	1.08263994528e-06	DNA-binding transcriptional regulator	YIDF
NAAKIICH_00016	151.225855494	20.8984316462	24	82773	0.689734322572	0.0740450675391	4.72891980681e-06	Radical SAM protein	YIDF
NAAKIICH_00016	118.21489824	1.73873530438	2	939	0.642355323283	0.0095648330516	1.23466361264e-07	Anaerobic sulfatase-maturating enzyme	YIDF
NAAKIICH_00017	1784.04686708	31.6521038162	36	944	1.33479662833	0.0588101609222	0.000424810407533	Multidrug efflux MFS transporter EmrD	EMRD
NAAKIICH_00017	1204.84463315	51.0175501151	58	5377	1.12286189376	0.0960825369368	1.47959821386e-05	Multidrug resistance protein D	EMRD
NAAKIICH_00017	963.53044464	1.75943280058	2	8	0.985415455982	0.0188739852799	3.29638379757e-06	2-module integral membrane pump	EMRD
NAAKIICH_00017	1.36089133195	0.881019591951	1	652243	0.60627093448	0.0296727767453	3.13611843353e-07	MFS transporter	EMRD
NAAKIICH_00017	7.58482134708	0.879716400292	1	39006	0.594609046838	0.00297192130156	4.72341398202e-10	Putative transcriptional regulator	EMRD
NAAKIICH_00018	6171.41131855	71.5637759255	87	507	3.0970293622	0.0724671450425	0.00286239534165	Type I toxin-antitoxin system toxin TisB	TISB
NAAKIICH_00019	631.177816927	87.7024437938	100	57051	0.970877409132	0.242272214974	0.000100421233795	Acetolactate synthase	ILVB
NAAKIICH_00020	631.948495859	87.5538070322	100	56912	0.962950177161	0.226733773425	9.39451076749e-05	Acetolactate synthase	ILVN
NAAKIICH_00024	2699.80369264	52.7289345493	60	1155	1.70868745138	0.0731066158057	0.00097339751601	Transcriptional regulator UhpA	UHPA
NAAKIICH_00024	164.973196119	0.879228769134	1	86	0.692833973285	0.0695182666194	6.76450705466e-07	Two-component system	UHPA
NAAKIICH_00024	58.2268241167	30.4064916667	35	812077	0.63597240615	0.0427788600843	0.000444032919998	DNA-binding response regulator	UHPA
NAAKIICH_00024	11.6469663288	0.879228769134	1	17006	0.616978169144	0.0421120268944	4.17907378349e-07	Two component transcriptional regulator, LuxR family	UHPA
NAAKIICH_00025	2558.45534194	64.0233358994	73	1851	1.65383900956	0.0762863713611	0.00125479806059	Signal transduction histidine-protein kinase/phosphatase UhpB	UHPB
NAAKIICH_00025	1983.27741782	7.01680407731	8	37	1.39108854908	0.0146738232001	2.27826896201e-05	Sensory histidine kinase in two-component regulatory sytem with UhpA	UHPB
NAAKIICH_00025	265.887567268	10.5213439124	12	4627	0.705437462487	0.0171366392692	8.38367735007e-07	ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein	UHPB
NAAKIICH_00025	38.1764347747	0.876778659367	1	1557	0.65017801933	0.0847302872727	1.9658275504e-05	Signal transduction histidine-protein kinase/phosphatase DegS	UHPB
NAAKIICH_00025	9.21919683765	5.2601612541	6	849318	0.6126879448	0.035849533282	6.71284461305e-07	Histidine kinase	UHPB
NAAKIICH_00026	3061.33160093	15.8447742963	18	81	1.82824815839	0.0258526352888	0.000681065671492	Membrane protein regulates UhpT expression	UHPC
