qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
NAAKIICH_00001	MF	0022857	transmembrane transporter activity	3.27679895295	0.567540033855	1	100
NAAKIICH_00001	BP	0055085	transmembrane transport	2.79413055285	0.54741128159	1	100
NAAKIICH_00001	CC	0005886	plasma membrane	2.58753375408	0.538266002746	1	99
NAAKIICH_00001	CC	0016021	integral component of membrane	0.911176867408	0.443301509164	3	100
NAAKIICH_00001	BP	0034194	D-galactonate catabolic process	0.129320200595	0.356915543298	7	1
NAAKIICH_00001	BP	0015718	monocarboxylic acid transport	0.0948791804853	0.349425178114	14	1
NAAKIICH_00001	BP	0008643	carbohydrate transport	0.0703429571216	0.343210302241	23	1
NAAKIICH_00001	BP	0015849	organic acid transport	0.0667396003933	0.342210980588	24	1
NAAKIICH_00001	BP	0006812	cation transport	0.0424042222005	0.334599998542	38	1
NAAKIICH_00002	MF	0071949	FAD binding	7.77237362838	0.709502747152	1	99
NAAKIICH_00003	MF	0004177	aminopeptidase activity	4.0298987029	0.596183302351	1	1
NAAKIICH_00004	BP	0006974	cellular response to DNA damage stimulus	2.71977183959	0.544159930855	1	1
NAAKIICH_00004	CC	0016021	integral component of membrane	0.454398294516	0.402577972084	1	1
NAAKIICH_00005	BP	0050821	protein stabilization	11.5221341003	0.797570788464	1	100
NAAKIICH_00005	CC	0005737	cytoplasm	1.99047852263	0.509554432004	1	100
NAAKIICH_00005	MF	0048027	mRNA 5'-UTR binding	0.126891369012	0.356422875099	1	1
NAAKIICH_00005	MF	0042802	identical protein binding	0.0891805918975	0.348061249823	2	1
NAAKIICH_00005	BP	0017148	negative regulation of translation	0.0947618947597	0.349397525857	5	1
NAAKIICH_00005	BP	0009408	response to heat	0.0934559886229	0.349088470872	8	1
NAAKIICH_00006	BP	0050821	protein stabilization	11.5221465954	0.79757105571	1	99
NAAKIICH_00006	CC	0005737	cytoplasm	1.99048068119	0.509554543081	1	99
NAAKIICH_00006	MF	0042802	identical protein binding	0.0900815036454	0.348279719419	1	1
NAAKIICH_00006	BP	1990169	stress response to copper ion	0.182070879335	0.366656497899	5	1
NAAKIICH_00006	BP	0009408	response to heat	0.0944000908795	0.349312115978	9	1
NAAKIICH_00007	BP	0006813	potassium ion transport	7.64462651573	0.706162285422	1	100
NAAKIICH_00007	MF	0008324	cation transmembrane transporter activity	4.75793926436	0.621420419026	1	100
NAAKIICH_00007	CC	0005886	plasma membrane	2.61369208706	0.539443636376	1	100
NAAKIICH_00007	BP	0098655	cation transmembrane transport	4.4638425885	0.611475768024	3	100
NAAKIICH_00007	CC	0016021	integral component of membrane	0.911184102968	0.443302059473	3	100
NAAKIICH_00008	MF	0003700	DNA-binding transcription factor activity	4.75873233139	0.621446813862	1	100
NAAKIICH_00008	BP	0006355	regulation of DNA-templated transcription	3.52112932474	0.577163044097	1	100
NAAKIICH_00008	MF	0003677	DNA binding	3.24274123072	0.566170539597	3	100
NAAKIICH_00008	BP	1903507	negative regulation of nucleic acid-templated transcription	0.0777059149126	0.345175633563	19	1
NAAKIICH_00009	MF	0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	9.3928686122	0.749705870372	1	100
NAAKIICH_00009	BP	0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	8.21968039081	0.720988181992	1	100
NAAKIICH_00009	CC	0005886	plasma membrane	2.6136919282	0.539443629242	1	100
NAAKIICH_00009	CC	0016021	integral component of membrane	0.911184047588	0.443302055261	3	100
NAAKIICH_00009	MF	0016301	kinase activity	4.32187314021	0.606557953829	5	100
NAAKIICH_00009	BP	0016310	phosphorylation	3.95387230645	0.593420709323	8	100
NAAKIICH_00009	MF	0103111	D-glucosamine PTS permease activity	1.34758838207	0.473256399353	10	10
NAAKIICH_00010	MF	0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	6.26500702637	0.668135542754	1	100
NAAKIICH_00010	BP	0005975	carbohydrate metabolic process	4.06595291316	0.597484302698	1	100
NAAKIICH_00010	CC	0016021	integral component of membrane	0.829238200742	0.436922774724	1	91
NAAKIICH_00010	MF	0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	6.20880608639	0.666501751062	2	100
NAAKIICH_00010	MF	0046872	metal ion binding	2.5284673305	0.53558477184	7	100
NAAKIICH_00011	MF	0043565	sequence-specific DNA binding	6.28895832631	0.66882959225	1	100
NAAKIICH_00011	BP	0006355	regulation of DNA-templated transcription	3.52114597817	0.577163688413	1	100
NAAKIICH_00011	MF	0003700	DNA-binding transcription factor activity	4.75875483815	0.6214475629	2	100
NAAKIICH_00012	MF	0015293	symporter activity	8.13549715247	0.718850953018	1	100
NAAKIICH_00012	BP	0006814	sodium ion transport	8.13074604916	0.718730003966	1	100
NAAKIICH_00012	CC	0016021	integral component of membrane	0.911184472725	0.443302087596	1	100
NAAKIICH_00012	BP	0055085	transmembrane transport	2.79415387461	0.547412294506	5	100
NAAKIICH_00012	CC	0005886	plasma membrane	0.0261165583762	0.328165217768	5	1
NAAKIICH_00012	MF	0005355	glucose transmembrane transporter activity	0.131461354772	0.357346034999	7	1
NAAKIICH_00012	BP	0006012	galactose metabolic process	0.0981071601941	0.350179634812	13	1
NAAKIICH_00012	MF	0015081	sodium ion transmembrane transporter activity	0.0920632117808	0.348756468044	14	1
NAAKIICH_00012	BP	0008643	carbohydrate transport	0.0702863876601	0.343194814229	16	1
NAAKIICH_00012	MF	0022853	active ion transmembrane transporter activity	0.0531555431753	0.338176565579	17	1
NAAKIICH_00013	MF	0008484	sulfuric ester hydrolase activity	9.12947419516	0.743422087016	1	100
NAAKIICH_00013	MF	0016740	transferase activity	0.644580806246	0.421274966958	6	28
NAAKIICH_00013	MF	0046872	metal ion binding	0.0252769226158	0.327784938176	8	1
NAAKIICH_00014	CC	0016021	integral component of membrane	0.911154321224	0.443299794374	1	100
NAAKIICH_00014	BP	0006979	response to oxidative stress	0.0783266187741	0.345336968842	1	1
