Mash_value,Y1,Y2,Genome_name
0,137460,77.6,GCF_003956405.1_ASM395640v1
0.25,136528,74.2, GCF_000299255.1_ASM29925v1
0.29,136528,72.17, GCF_002863885.1_ASM286388v1
0.33,136528,72.7, GCF_003966465.1_ASM396646v1
0.38,136528,72.37, GCF_015571535.1_ASM1557153v1
0.54,136528,71.58, GCF_003571785.1_ASM357178v1
0.58,129988,70.85, GCF_002310655.1_ASM231065v1
0.62,129988,69.24, GCF_000227625.1_ASM22762v1
0.66,129988,68.14, GCF_003018255.1_ASM301825v1
0.7,129988,68.04, GCF_001900735.1_ASM190073v1
0.74,129988,68.15, GCF_002009315.1_ASM200931v1
0.86,129988,67.11, GCF_002012025.1_ASM201202v1
0.9,129988,66.67, GCF_001675145.1_ASM167514v1
0.94,129988,64.15, GCF_003018335.1_ASM301833v1
1,129441,64.72, GCF_009931435.1_ASM993143v1
