Mash_value,Y1,Y2,Genome_name
0,283877,96.34,GCF_001890365.1_ASM189036v1
0.16,283619,90.39, GCF_011022275.1_ASM1102227v1
0.2,283619,89.83, GCF_900622695.1_MS14384
0.24,283619,91.68, GCF_002946715.1_ASM294671v1
0.61,248195,85.19, GCF_002310695.1_ASM231069v1
0.65,236450,81.25, GCF_002357895.1_ASM235789v1
0.73,217663,82.98, GCF_000245515.1_ASM24551v1
0.77,218216,80.44, GCF_000167875.2_ASM16787v2
0.81,213610,81.25, GCF_000091005.1_ASM9100v1
0.85,207853,79.12, GCF_000010765.1_ASM1076v1
0.93,204736,76.74, GCF_001513635.1_ASM151363v1
1,180666,74.87, GCF_003856995.1_ASM385699v1
