qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
DDMIMFBN_00001	MF	0008774	acetaldehyde dehydrogenase (acetylating) activity	12.7164253868	0.822484612641	1	100
DDMIMFBN_00001	BP	0015976	carbon utilization	11.3348932933	0.79354967904	1	100
DDMIMFBN_00001	CC	0005829	cytosol	0.0672925089054	0.342366041164	1	1
DDMIMFBN_00001	MF	0004022	alcohol dehydrogenase (NAD+) activity	11.2446665136	0.791600147764	2	100
DDMIMFBN_00001	BP	0006066	alcohol metabolic process	6.94555912679	0.687366304883	4	100
DDMIMFBN_00001	CC	0016020	membrane	0.00746532291324	0.317245584944	4	1
DDMIMFBN_00001	MF	0046872	metal ion binding	2.52848018874	0.535585358909	9	100
DDMIMFBN_00001	BP	0019664	mixed acid fermentation	0.240903142262	0.375966896835	12	1
DDMIMFBN_00001	MF	0016829	lyase activity	0.237570138466	0.375472174844	15	5
DDMIMFBN_00001	BP	0051260	protein homooligomerization	0.103951147778	0.351514593949	16	1
DDMIMFBN_00001	MF	0042802	identical protein binding	0.0891917907959	0.348063972293	17	1
DDMIMFBN_00001	BP	0006979	response to oxidative stress	0.0783370532136	0.34533967552	21	1
DDMIMFBN_00001	MF	0016740	transferase activity	0.0230150729289	0.326727884673	21	1
DDMIMFBN_00001	BP	1901617	organic hydroxy compound biosynthetic process	0.0742319880828	0.344260535563	22	1
DDMIMFBN_00001	BP	0044283	small molecule biosynthetic process	0.03898343821	0.333368613275	31	1
DDMIMFBN_00002	CC	0005886	plasma membrane	2.6136570643	0.539442063621	1	100
DDMIMFBN_00002	CC	0016021	integral component of membrane	0.911171893352	0.443301130855	3	100
DDMIMFBN_00005	CC	0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	7.10411497316	0.691709483274	1	100
DDMIMFBN_00005	BP	0055085	transmembrane transport	2.7941541433	0.547412306176	1	100
DDMIMFBN_00005	CC	0042597	periplasmic space	6.64943022956	0.679119822535	2	100
DDMIMFBN_00006	CC	0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	6.18053466788	0.665677090165	1	87
DDMIMFBN_00006	BP	0055085	transmembrane transport	2.79413363724	0.547411415552	1	100
DDMIMFBN_00006	BP	0015833	peptide transport	0.327675104164	0.387816709079	6	4
DDMIMFBN_00006	BP	0015031	protein transport	0.218186863531	0.372523612196	9	4
DDMIMFBN_00006	BP	0098657	import into cell	0.0812794232872	0.346095861295	23	1
DDMIMFBN_00007	CC	0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	7.03317404349	0.689772317476	1	99
DDMIMFBN_00007	BP	0055085	transmembrane transport	2.79413259181	0.547411370147	1	100
