Strains,N50_value,Approach,,
IP9,137460,(Highest N50) De-novo guided reference-based ,,
IP9,136528,75% alignment,,
IP9,129988,De-novo guided reference-based ,,
IP9,129988,(Lowest N50) De-novo based,,
KKA,283877,(Highest N50) De-novo guided reference-based ,,
KKA,283619,De-novo guided reference-based ,,
KKA,248195,De-novo guided reference-based ,,
KKA,236450,De-novo guided reference-based ,,
KKA,217663,De-novo guided reference-based ,,
KKA,218216,De-novo guided reference-based ,,
KKA,213610,De-novo guided reference-based ,,
KKA,207853,De-novo guided reference-based ,,
KKA,204736,De-novo guided reference-based ,,
KKA,180666,75% alignment,,
KKA,178741,(Lowest N50) De-novo based,,
IPE,295668,(Highest N50) De-novo guided reference-based ,,
IPE,281881,De-novo guided reference-based ,,
IPE,280814,De-novo guided reference-based ,,
IPE,267051,De-novo guided reference-based ,,
IPE,266984,De-novo guided reference-based ,,
IPE,266947,De-novo guided reference-based ,,
IPE,263981,75% alignment,,
IPE,253082,De-novo guided reference-based ,,
IPE,252171,(Lowest N50) De-novo based,,
