qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
KLIEJDFO_00004	747.402175541	87.5675508905	100	40690	1.14254634423	0.478462553536	1.60319791322e-05	UDP-N-acetylenolpyruvoylglucosamine reductase	MURB
KLIEJDFO_00005	1319.98675425	87.6815741469	100	13047	1.24985132735	0.248754394554	0.000839826837473	Bifunctional ligase/repressor BirA	BIRA
KLIEJDFO_00006	1258.19870783	87.2054828119	100	14358	1.22382323689	0.246303579048	0.00014284299065	Pantothenate kinase	COAA
KLIEJDFO_00011	760.663536887	88.1019591951	100	39284	0.976121830971	0.154442808247	8.63922677299e-05	Elongation factor Tu	TUF
KLIEJDFO_00012	828.999561173	86.7724286861	100	33072	1.00820316745	0.163396563429	0.000158217962751	Protein translocase subunit SecE	SECE
KLIEJDFO_00013	795.837375963	87.6092260624	100	35887	1.03697944127	0.242715361101	0.000267474853756	Transcription termination/antitermination protein NusG	NUSG
KLIEJDFO_00014	776.576554986	87.7470918529	100	37690	0.988089923117	0.16501465088	7.68078191144e-05	50S ribosomal protein L11	RPLK
KLIEJDFO_00015	779.288217068	87.9806728531	100	37429	0.988317537607	0.16339756562	7.70500804235e-05	50S ribosomal protein L1	RPLA
KLIEJDFO_00016	765.175027964	87.2412053506	100	38820	0.981832101825	0.16181068436	0.000121396421732	50S ribosomal protein L10	RPLJ
KLIEJDFO_00018	440.863277491	85.687178253	100	116908	0.832595328178	0.124999891191	3.74252387625e-06	DNA-directed RNA polymerase subunit beta	RPOB
KLIEJDFO_00019	440.863521085	88.2300043803	100	116908	0.854678741522	0.166666481404	4.89715963094e-06	DNA-directed RNA polymerase subunit beta'	RPOC
KLIEJDFO_00020	8823.14866574	50.6734994198	58	107	4.17139305991	0.0983642289908	2.76123069054e-05	Heat shock protein C	HTRC
KLIEJDFO_00020	6422.93144672	29.6226094592	34	69	3.19478796532	0.0671681311205	0.000813856789895	Stationary phase growth adaptation protein	HTRC
KLIEJDFO_00021	1954.56828311	4.38162638418	5	15	1.38308907447	0.021248599708	1.6926809289e-07	Tyrosine lyase	THIH
KLIEJDFO_00021	1619.52855301	70.175235648	80	5604	1.30030868274	0.117887350672	0.0008482840465	2-iminoacetate synthase ThiH	THIH
