qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
KLIEJDFO_00004	MF	0008762	UDP-N-acetylmuramate dehydrogenase activity	11.5887002513	0.798992454874	1	100
KLIEJDFO_00004	BP	0008360	regulation of cell shape	6.82326293813	0.68398238221	1	100
KLIEJDFO_00004	CC	0005737	cytoplasm	1.99051909618	0.509556519851	1	100
KLIEJDFO_00004	MF	0071949	FAD binding	7.77237126789	0.709502685682	2	100
KLIEJDFO_00004	BP	0009252	peptidoglycan biosynthetic process	6.7949363637	0.683194273607	3	100
KLIEJDFO_00004	BP	0071555	cell wall organization	6.73310986594	0.681468396536	7	100
KLIEJDFO_00004	BP	0051301	cell division	6.2083545692	0.666488595338	19	100
KLIEJDFO_00004	BP	0007049	cell cycle	6.17192965553	0.665425712703	20	100
KLIEJDFO_00005	MF	0004077	biotin-[acetyl-CoA-carboxylase] ligase activity	11.5891459991	0.799001961017	1	100
KLIEJDFO_00005	BP	0036211	protein modification process	4.20602240187	0.602484718445	1	100
KLIEJDFO_00005	BP	0006355	regulation of DNA-templated transcription	3.52114801354	0.577163767161	3	100
KLIEJDFO_00005	MF	0003677	DNA binding	3.24275844194	0.566171233488	6	100
KLIEJDFO_00005	MF	0005524	ATP binding	2.99671024662	0.556055847352	7	100
KLIEJDFO_00006	MF	0004594	pantothenate kinase activity	11.3260188725	0.793358274185	1	100
KLIEJDFO_00006	BP	0015937	coenzyme A biosynthetic process	9.04984594395	0.741504606237	1	100
KLIEJDFO_00006	CC	0005737	cytoplasm	1.99051576221	0.509556348291	1	100
KLIEJDFO_00006	MF	0005524	ATP binding	2.9967094365	0.556055813376	5	100
KLIEJDFO_00006	MF	0050165	pantetheine kinase activity	0.259764514697	0.378704227271	23	1
KLIEJDFO_00006	BP	0016310	phosphorylation	3.95384749517	0.593419803433	26	100
KLIEJDFO_00011	MF	0097216	guanosine tetraphosphate binding	10.8719977932	0.783463787638	1	100
KLIEJDFO_00011	BP	0006414	translational elongation	7.47723762736	0.701742692902	1	100
KLIEJDFO_00011	CC	0005737	cytoplasm	1.99052224324	0.509556681793	1	100
KLIEJDFO_00011	MF	0003746	translation elongation factor activity	8.02769739471	0.716097940297	2	100
KLIEJDFO_00011	CC	0032045	guanyl-nucleotide exchange factor complex	0.131754727617	0.357404745446	3	1
KLIEJDFO_00011	CC	0005886	plasma membrane	0.0784105211044	0.345358727881	4	3
KLIEJDFO_00011	MF	0003924	GTPase activity	6.65065139496	0.679154201987	6	100
KLIEJDFO_00011	MF	0005525	GTP binding	5.97132341098	0.659514952231	7	100
KLIEJDFO_00011	BP	0046677	response to antibiotic	0.255214300011	0.378053209171	26	3
KLIEJDFO_00011	MF	0005515	protein binding	0.0503270677947	0.337273725353	30	1
KLIEJDFO_00011	MF	0003723	RNA binding	0.0360420128554	0.332265833902	31	1
KLIEJDFO_00012	BP	0043952	protein transport by the Sec complex	9.66073683302	0.756006659689	1	100
KLIEJDFO_00012	MF	0008320	protein transmembrane transporter activity	9.05518382857	0.741633407815	1	100
KLIEJDFO_00012	CC	0005886	plasma membrane	2.61361238886	0.53944005738	1	100
KLIEJDFO_00012	BP	0065002	intracellular protein transmembrane transport	8.85022027458	0.736660123226	2	100
KLIEJDFO_00012	BP	0009306	protein secretion	7.6943974762	0.70746704156	3	100
KLIEJDFO_00012	CC	0016021	integral component of membrane	0.911156318621	0.443299946291	3	100
KLIEJDFO_00012	BP	0006605	protein targeting	7.60449329132	0.70510708815	6	100
KLIEJDFO_00013	BP	0006354	DNA-templated transcription elongation	10.6736498444	0.779076418696	1	100
KLIEJDFO_00013	CC	0005829	cytosol	6.72846129061	0.681338312614	1	100
KLIEJDFO_00013	MF	0005515	protein binding	0.0504394875697	0.337310086385	1	1
